X0,Y0,X1,Y1,X2,Y2
406,121.044,,,,
407,118.892,,,,
408,116.741,,,,
409,114.051,,,,
410,111.899,,,,
411,109.747,,,,
412,108.665,,,,
413,108.665,,,,
414,110.285,,,,
415,112.975,,,,
416,117.278,,,,
417,122.658,,,,
418,128.576,,,,
419,132.880,,,,
420,135.570,,,,
421,137.184,,,,
422,138.266,,,,
423,138.797,,,,
424,138.797,,,,
425,138.797,,,,
426,138.797,,,,
427,138.266,,,,
428,137.715,,,,
429,137.184,,,,
430,137.184,,,,
431,137.184,,,,
432,136.652,,,,
433,136.101,,,,
434,135.570,,,,
435,135.570,,,,
436,135.038,,,,
437,134.487,,,,
438,133.956,,,,
439,133.424,,,,
440,132.873,,,,
441,132.342,,,,
442,131.810,,,,
443,130.728,,,,
444,129.114,,,,
445,126.962,,,,
446,124.810,,,,
447,122.120,,,,
448,119.430,,,,
449,116.203,,,,
450,112.975,,,,
451,110.285,,,,
452,108.665,,,,
453,108.133,,,,
454,108.665,,,,
455,110.285,,,,
456,114.051,,,,
457,118.892,,,,
458,124.810,,,,
459,129.652,,,,
460,132.880,,,,
461,133.956,,,,
462,134.487,,,,
463,135.038,,,,
464,136.101,,,,
465,137.184,,,,
466,138.266,,,,
467,138.797,,,,
468,138.797,,,,
469,138.797,,,,
470,138.797,,,,
471,138.797,,,,
472,138.797,,,,
473,138.797,,,,
474,138.797,,,,
475,138.797,,,,
476,138.797,,,,
477,138.266,,,,
478,137.715,,,,
479,137.184,,,,
480,137.184,,,,
481,136.652,,,,
482,136.101,,,,
483,135.570,,,,
484,135.038,,,,
485,133.956,,,,
486,132.342,,,,
487,130.728,,,,
488,128.576,,,,
489,126.424,,,,
490,124.272,,,,
491,122.658,,,,
492,121.044,,,,
493,118.892,,,,
494,116.741,,,,
495,114.051,,,,
496,111.899,,,,
497,109.747,,,,
498,108.665,,,,
499,108.133,,,,
500,108.665,,,,
501,110.823,,,,
502,114.589,,,,
503,119.968,,,,
504,125.886,,,,
505,131.266,,,,
506,134.494,,,,
507,136.101,,,,
508,137.184,,,,
509,138.266,,,,
510,139.329,,,,
511,139.880,,,,
512,140.411,,,,
513,140.411,,,,
514,140.411,,,,
515,140.411,,,,
516,140.411,,,,
517,140.411,,,,
518,140.411,,,,
519,140.411,,,,
520,139.880,,,,
521,139.329,,,,
522,138.797,,,,
523,138.266,,,,
524,137.715,,,,
525,136.652,,,,
526,135.570,,,,
527,134.487,,,,
528,133.424,,,,
529,132.873,,,,
530,131.810,,,,
531,131.259,,,,
532,129.652,,,,
533,128.576,,,,
534,126.968,,,,
535,125.886,,,,
536,124.272,,,,
537,122.658,,,,
538,120.506,,,,
539,118.354,,,,
540,115.665,,,,
541,112.975,,,,
542,110.285,,,,
543,108.133,,,,
544,107.051,,,,
545,106.519,,,,
546,107.595,,,,
547,109.747,,,,
548,113.513,,,,
549,118.354,,,,
550,124.810,,,,
551,130.728,,,,
552,135.032,,,,
553,137.184,,,,
554,138.797,,,,
555,140.411,,,,
556,142.025,,,,
557,143.108,,,,
558,143.639,,,,
559,143.108,,,,
560,142.557,,,,
561,141.494,,,,
562,140.943,,,,
563,140.411,,,,
564,140.411,,,,
565,140.411,,,,
566,139.880,,,,
567,139.329,,,,
568,138.797,,,,
569,138.797,,,,
570,138.797,,,,
571,138.797,,,,
572,138.797,,,,
573,138.797,,,,
574,138.797,,,,
575,138.797,,,,
576,138.797,,,,
577,138.797,,,,
578,138.266,,,,
579,137.715,,,,
580,137.184,,,,
581,137.184,,,,
582,137.184,,,,
583,137.184,,,,
584,136.652,,,,
585,136.652,,,,
586,136.101,,,,
587,136.101,,,,
588,135.570,,,,
589,135.038,,,,
590,134.487,,,,
591,133.424,,,,
592,132.342,,,,
593,130.190,,,,
594,128.038,,,,
595,125.348,,,,
596,123.196,,,,
597,120.506,,,,
598,118.354,,,,
599,116.203,,,,
600,114.051,,,,
601,111.899,,,,
602,109.747,,,,
603,108.665,,,,
604,108.665,,,,
605,110.285,,,,
606,113.513,,,,
607,117.816,,,,
608,123.734,,,,
609,129.114,,,,
610,133.418,,,,
611,135.570,,,,
612,137.184,,,,
613,138.797,,,,
614,139.880,,,,
615,139.880,,,,
616,139.329,,,,
617,138.797,,,,
618,138.797,,,,
619,138.797,,,,
620,138.797,,,,
621,138.797,,,,
622,138.797,,,,
623,138.797,,,,
624,138.797,,,,
625,138.797,,,,
626,138.797,,,,
627,138.266,,,,
628,137.184,,,,
629,136.101,,,,
630,135.038,,,,
631,133.956,,,,
632,132.873,,,,
633,131.810,,,,
634,130.190,,,,
635,128.576,,,,
636,126.968,,,,
637,125.886,,,,
638,124.272,,,,
639,122.658,,,,
640,120.506,,,,
641,118.354,,,,
642,115.665,,,,
643,113.513,,,,
644,111.361,,,,
645,109.209,,,,
646,107.595,,,,
647,107.051,,,,
648,108.133,,,,
649,110.823,,,,
650,114.589,,,,
651,119.968,,,,
652,125.886,,,,
653,131.266,,,,
654,135.032,,,,
655,136.652,,,,
656,138.259,,,,
657,139.873,,,,
658,141.494,,,,
659,142.557,,,,
660,142.557,,,,
661,143.108,,,,
662,143.108,,,,
663,143.639,,,,
664,143.108,,,,
665,142.557,,,,
666,142.025,,,,
667,141.494,,,,
668,140.943,,,,
669,140.411,,,,
670,139.880,,,,
671,139.329,,,,
672,138.797,,,,
673,138.797,,,,
674,138.266,,,,
675,137.715,,,,
676,137.184,,,,
677,137.184,,,,
678,137.184,,,,
